TractName,TotalPopulation,MedianHouseholdIncome,MedianAge,state,county,tract,GEOID
Census Tract 301.01; Riverside County; California,1187,65250,27.3,06,065,030101,06065030101
Census Tract 301.03; Riverside County; California,2155,100074,33.9,06,065,030103,06065030103
Census Tract 301.04; Riverside County; California,7161,82177,29.6,06,065,030104,06065030104
Census Tract 302; Riverside County; California,4363,88623,35.8,06,065,030200,06065030200
Census Tract 303; Riverside County; California,4140,61985,33.0,06,065,030300,06065030300
Census Tract 304; Riverside County; California,7060,68415,29.1,06,065,030400,06065030400
Census Tract 305.01; Riverside County; California,4773,75130,30.6,06,065,030501,06065030501
Census Tract 305.02; Riverside County; California,2112,53092,30.9,06,065,030502,06065030502
Census Tract 305.03; Riverside County; California,3661,45069,28.3,06,065,030503,06065030503
Census Tract 306.02; Riverside County; California,3510,127212,44.1,06,065,030602,06065030602
Census Tract 306.03; Riverside County; California,2956,159018,45.5,06,065,030603,06065030603
Census Tract 306.04; Riverside County; California,2719,175597,50.0,06,065,030604,06065030604
Census Tract 306.05; Riverside County; California,2173,173777,47.9,06,065,030605,06065030605
Census Tract 307; Riverside County; California,6457,85909,35.7,06,065,030700,06065030700
Census Tract 308; Riverside County; California,7457,105022,36.2,06,065,030800,06065030800
Census Tract 309; Riverside County; California,3050,91394,36.3,06,065,030900,06065030900
Census Tract 310.01; Riverside County; California,4944,92765,40.6,06,065,031001,06065031001
Census Tract 310.02; Riverside County; California,5278,71233,31.6,06,065,031002,06065031002
Census Tract 311; Riverside County; California,4990,77766,31.9,06,065,031100,06065031100
Census Tract 312; Riverside County; California,6723,92009,34.6,06,065,031200,06065031200
Census Tract 313; Riverside County; California,2679,70278,31.9,06,065,031300,06065031300
Census Tract 314.01; Riverside County; California,7334,77650,32.5,06,065,031401,06065031401
Census Tract 314.02; Riverside County; California,7785,65227,32.7,06,065,031402,06065031402
Census Tract 315.01; Riverside County; California,7642,75631,22.3,06,065,031501,06065031501
Census Tract 315.03; Riverside County; California,4663,107344,38.5,06,065,031503,06065031503
Census Tract 315.04; Riverside County; California,4109,56955,34.0,06,065,031504,06065031504
Census Tract 316.01; Riverside County; California,4296,59688,32.3,06,065,031601,06065031601
Census Tract 316.02; Riverside County; California,4844,59926,35.2,06,065,031602,06065031602
Census Tract 317.01; Riverside County; California,3137,73611,38.6,06,065,031701,06065031701
Census Tract 317.02; Riverside County; California,1981,89226,35.7,06,065,031702,06065031702
Census Tract 317.03; Riverside County; California,3675,76944,37.5,06,065,031703,06065031703
Census Tract 317.04; Riverside County; California,4993,93333,37.8,06,065,031704,06065031704
Census Tract 401.01; Riverside County; California,3804,97474,34.1,06,065,040101,06065040101
Census Tract 401.02; Riverside County; California,6503,120799,31.7,06,065,040102,06065040102
Census Tract 402.01; Riverside County; California,7257,95417,29.8,06,065,040201,06065040201
Census Tract 402.02; Riverside County; California,2650,78125,41.4,06,065,040202,06065040202
Census Tract 402.03; Riverside County; California,3342,38879,28.7,06,065,040203,06065040203
Census Tract 402.04; Riverside County; California,3518,51208,28.3,06,065,040204,06065040204
Census Tract 403.02; Riverside County; California,9735,110681,36.1,06,065,040302,06065040302
Census Tract 403.03; Riverside County; California,3222,104405,36.6,06,065,040303,06065040303
Census Tract 403.04; Riverside County; California,4289,42841,31.7,06,065,040304,06065040304
Census Tract 403.05; Riverside County; California,2929,60861,38.2,06,065,040305,06065040305
Census Tract 404.02; Riverside County; California,4718,95052,31.5,06,065,040402,06065040402
Census Tract 404.03; Riverside County; California,5518,93246,34.7,06,065,040403,06065040403
Census Tract 404.04; Riverside County; California,3055,93553,34.3,06,065,040404,06065040404
Census Tract 404.05; Riverside County; California,5673,117000,34.8,06,065,040405,06065040405
Census Tract 405.01; Riverside County; California,7460,79076,33.3,06,065,040501,06065040501
Census Tract 405.02; Riverside County; California,6617,89784,26.6,06,065,040502,06065040502
Census Tract 405.03; Riverside County; California,3689,64375,56.4,06,065,040503,06065040503
Census Tract 406.03; Riverside County; California,2594,83857,30.8,06,065,040603,06065040603
Census Tract 406.04; Riverside County; California,5119,115849,40.3,06,065,040604,06065040604
Census Tract 406.05; Riverside County; California,3108,63750,28.9,06,065,040605,06065040605
Census Tract 406.06; Riverside County; California,3855,77195,29.1,06,065,040606,06065040606
Census Tract 406.09; Riverside County; California,17697,152684,33.4,06,065,040609,06065040609
Census Tract 406.11; Riverside County; California,9409,144063,36.8,06,065,040611,06065040611
Census Tract 406.16; Riverside County; California,9242,147094,35.2,06,065,040616,06065040616
Census Tract 406.17; Riverside County; California,7069,178026,36.7,06,065,040617,06065040617
Census Tract 406.18; Riverside County; California,10122,132059,34.9,06,065,040618,06065040618
Census Tract 406.19; Riverside County; California,5296,139833,35.4,06,065,040619,06065040619
Census Tract 406.20; Riverside County; California,6978,185375,35.5,06,065,040620,06065040620
Census Tract 406.21; Riverside County; California,3836,128667,37.8,06,065,040621,06065040621
Census Tract 406.22; Riverside County; California,6962,161583,32.1,06,065,040622,06065040622
Census Tract 407.01; Riverside County; California,2459,156932,48.9,06,065,040701,06065040701
Census Tract 407.02; Riverside County; California,2722,93843,40.4,06,065,040702,06065040702
Census Tract 407.03; Riverside County; California,2755,136964,45.0,06,065,040703,06065040703
Census Tract 408.06; Riverside County; California,2566,124350,46.3,06,065,040806,06065040806
Census Tract 408.07; Riverside County; California,3437,141116,37.8,06,065,040807,06065040807
Census Tract 408.08; Riverside County; California,7574,82031,33.2,06,065,040808,06065040808
Census Tract 408.09; Riverside County; California,3464,89010,36.0,06,065,040809,06065040809
Census Tract 408.12; Riverside County; California,4098,107188,36.3,06,065,040812,06065040812
Census Tract 408.13; Riverside County; California,5460,143218,42.6,06,065,040813,06065040813
Census Tract 408.14; Riverside County; California,5016,82865,30.9,06,065,040814,06065040814
Census Tract 408.15; Riverside County; California,3919,103158,37.7,06,065,040815,06065040815
Census Tract 408.16; Riverside County; California,2602,114118,45.1,06,065,040816,06065040816
Census Tract 408.21; Riverside County; California,5773,80841,36.5,06,065,040821,06065040821
Census Tract 409.01; Riverside County; California,8276,88986,34.1,06,065,040901,06065040901
Census Tract 409.02; Riverside County; California,5191,99000,44.1,06,065,040902,06065040902
Census Tract 409.03; Riverside County; California,2956,70174,34.2,06,065,040903,06065040903
Census Tract 409.04; Riverside County; California,3902,88958,33.2,06,065,040904,06065040904
Census Tract 410.01; Riverside County; California,2774,63170,27.6,06,065,041001,06065041001
Census Tract 410.02; Riverside County; California,3241,81972,30.1,06,065,041002,06065041002
Census Tract 410.03; Riverside County; California,2653,109375,36.5,06,065,041003,06065041003
Census Tract 410.04; Riverside County; California,4208,71579,33.7,06,065,041004,06065041004
Census Tract 411.01; Riverside County; California,5489,46250,23.7,06,065,041101,06065041101
Census Tract 411.02; Riverside County; California,4657,93750,31.6,06,065,041102,06065041102
Census Tract 412.01; Riverside County; California,3765,86477,35.0,06,065,041201,06065041201
Census Tract 412.02; Riverside County; California,5036,86813,32.7,06,065,041202,06065041202
Census Tract 412.03; Riverside County; California,3638,72500,30.4,06,065,041203,06065041203
Census Tract 413.01; Riverside County; California,3834,90000,32.6,06,065,041301,06065041301
Census Tract 413.02; Riverside County; California,4347,72599,28.1,06,065,041302,06065041302
Census Tract 414.03; Riverside County; California,4501,94196,37.7,06,065,041403,06065041403
Census Tract 414.04; Riverside County; California,3775,95288,35.3,06,065,041404,06065041404
Census Tract 414.05; Riverside County; California,5542,90833,30.6,06,065,041405,06065041405
Census Tract 414.06; Riverside County; California,6422,80258,31.7,06,065,041406,06065041406
Census Tract 414.07; Riverside County; California,6080,63720,32.4,06,065,041407,06065041407
Census Tract 414.08; Riverside County; California,4412,68333,34.8,06,065,041408,06065041408
Census Tract 414.10; Riverside County; California,3044,70269,31.3,06,065,041410,06065041410
Census Tract 414.11; Riverside County; California,3013,71406,35.3,06,065,041411,06065041411
Census Tract 414.12; Riverside County; California,5578,71824,41.7,06,065,041412,06065041412
Census Tract 414.13; Riverside County; California,5861,219097,40.0,06,065,041413,06065041413
Census Tract 414.14; Riverside County; California,3928,131682,44.3,06,065,041414,06065041414
Census Tract 414.15; Riverside County; California,4450,149866,37.6,06,065,041415,06065041415
Census Tract 415; Riverside County; California,3406,68886,33.5,06,065,041500,06065041500
Census Tract 416.01; Riverside County; California,2308,51912,36.6,06,065,041601,06065041601
Census Tract 416.02; Riverside County; California,3853,65506,29.6,06,065,041602,06065041602
Census Tract 417.02; Riverside County; California,5138,81786,38.1,06,065,041702,06065041702
Census Tract 417.03; Riverside County; California,6291,58255,25.8,06,065,041703,06065041703
Census Tract 417.04; Riverside County; California,3531,56250,29.6,06,065,041704,06065041704
Census Tract 418.03; Riverside County; California,5909,152262,39.6,06,065,041803,06065041803
Census Tract 418.04; Riverside County; California,4648,139744,37.0,06,065,041804,06065041804
Census Tract 418.05; Riverside County; California,5840,91532,31.7,06,065,041805,06065041805
Census Tract 418.06; Riverside County; California,4856,156792,37.2,06,065,041806,06065041806
Census Tract 418.07; Riverside County; California,2567,117857,36.6,06,065,041807,06065041807
Census Tract 418.08; Riverside County; California,7373,139020,40.9,06,065,041808,06065041808
Census Tract 418.09; Riverside County; California,4749,65655,43.4,06,065,041809,06065041809
Census Tract 418.10; Riverside County; California,5656,156667,38.2,06,065,041810,06065041810
Census Tract 418.12; Riverside County; California,3145,121886,38.5,06,065,041812,06065041812
Census Tract 418.13; Riverside County; California,7121,76138,34.5,06,065,041813,06065041813
Census Tract 419.04; Riverside County; California,5038,117563,37.5,06,065,041904,06065041904
Census Tract 419.05; Riverside County; California,2894,55652,32.0,06,065,041905,06065041905
Census Tract 419.06; Riverside County; California,6289,74167,31.3,06,065,041906,06065041906
Census Tract 419.09; Riverside County; California,5868,125313,35.7,06,065,041909,06065041909
Census Tract 419.10; Riverside County; California,7643,107917,37.9,06,065,041910,06065041910
Census Tract 419.12; Riverside County; California,6313,132287,37.3,06,065,041912,06065041912
Census Tract 419.13; Riverside County; California,5046,105958,38.5,06,065,041913,06065041913
Census Tract 419.14; Riverside County; California,5965,151939,34.4,06,065,041914,06065041914
Census Tract 419.15; Riverside County; California,9023,112382,43.6,06,065,041915,06065041915
Census Tract 420.03; Riverside County; California,6776,124643,36.4,06,065,042003,06065042003
Census Tract 420.04; Riverside County; California,4733,140961,45.2,06,065,042004,06065042004
Census Tract 420.05; Riverside County; California,5202,144223,40.0,06,065,042005,06065042005
Census Tract 420.07; Riverside County; California,5585,108684,45.9,06,065,042007,06065042007
Census Tract 420.08; Riverside County; California,8481,130335,40.5,06,065,042008,06065042008
Census Tract 420.09; Riverside County; California,7697,114787,35.0,06,065,042009,06065042009
Census Tract 420.10; Riverside County; California,5902,86658,31.4,06,065,042010,06065042010
Census Tract 420.12; Riverside County; California,6966,107183,32.6,06,065,042012,06065042012
Census Tract 420.15; Riverside County; California,5648,162407,35.7,06,065,042015,06065042015
Census Tract 420.16; Riverside County; California,2342,129831,36.2,06,065,042016,06065042016
Census Tract 420.17; Riverside County; California,3624,145129,35.3,06,065,042017,06065042017
Census Tract 420.18; Riverside County; California,6453,147019,36.9,06,065,042018,06065042018
Census Tract 422.06; Riverside County; California,5717,67500,33.3,06,065,042206,06065042206
Census Tract 422.07; Riverside County; California,2720,105625,51.5,06,065,042207,06065042207
Census Tract 422.08; Riverside County; California,2897,130536,38.5,06,065,042208,06065042208
Census Tract 422.09; Riverside County; California,4785,40075,23.0,06,065,042209,06065042209
Census Tract 422.10; Riverside County; California,5093,45688,26.0,06,065,042210,06065042210
Census Tract 422.12; Riverside County; California,8261,82071,32.5,06,065,042212,06065042212
Census Tract 422.13; Riverside County; California,3261,78387,30.7,06,065,042213,06065042213
Census Tract 422.14; Riverside County; California,6371,125942,34.2,06,065,042214,06065042214
Census Tract 422.17; Riverside County; California,4785,113202,36.8,06,065,042217,06065042217
Census Tract 423; Riverside County; California,10183,90049,31.5,06,065,042300,06065042300
Census Tract 424.01; Riverside County; California,2031,136000,41.9,06,065,042401,06065042401
Census Tract 424.02; Riverside County; California,5658,91902,31.1,06,065,042402,06065042402
Census Tract 424.03; Riverside County; California,5395,143456,33.7,06,065,042403,06065042403
Census Tract 424.04; Riverside County; California,2408,71500,30.8,06,065,042404,06065042404
Census Tract 424.05; Riverside County; California,4778,49167,27.2,06,065,042405,06065042405
Census Tract 424.06; Riverside County; California,4778,75847,32.9,06,065,042406,06065042406
Census Tract 424.07; Riverside County; California,3358,82917,33.0,06,065,042407,06065042407
Census Tract 424.08; Riverside County; California,3037,94130,34.2,06,065,042408,06065042408
Census Tract 424.09; Riverside County; California,4036,72679,35.1,06,065,042409,06065042409
Census Tract 424.10; Riverside County; California,5940,89485,31.1,06,065,042410,06065042410
Census Tract 424.11; Riverside County; California,2614,89150,33.1,06,065,042411,06065042411
Census Tract 424.12; Riverside County; California,4646,124469,41.0,06,065,042412,06065042412
Census Tract 425.05; Riverside County; California,3279,48672,30.2,06,065,042505,06065042505
Census Tract 425.07; Riverside County; California,5425,105694,30.2,06,065,042507,06065042507
Census Tract 425.08; Riverside County; California,6109,75781,27.9,06,065,042508,06065042508
Census Tract 425.09; Riverside County; California,3237,72788,31.1,06,065,042509,06065042509
Census Tract 425.10; Riverside County; California,5458,70766,30.4,06,065,042510,06065042510
Census Tract 425.11; Riverside County; California,3913,70341,31.3,06,065,042511,06065042511
Census Tract 425.12; Riverside County; California,3723,58355,29.0,06,065,042512,06065042512
Census Tract 425.13; Riverside County; California,2986,72645,37.4,06,065,042513,06065042513
Census Tract 425.14; Riverside County; California,3420,57273,29.4,06,065,042514,06065042514
Census Tract 425.15; Riverside County; California,3454,44716,28.5,06,065,042515,06065042515
Census Tract 425.16; Riverside County; California,3639,73304,30.4,06,065,042516,06065042516
Census Tract 425.17; Riverside County; California,3323,77885,30.2,06,065,042517,06065042517
Census Tract 425.18; Riverside County; California,3196,65915,32.5,06,065,042518,06065042518
Census Tract 425.19; Riverside County; California,1981,47333,27.6,06,065,042519,06065042519
Census Tract 425.20; Riverside County; California,5253,59877,30.1,06,065,042520,06065042520
Census Tract 425.21; Riverside County; California,5585,69271,26.5,06,065,042521,06065042521
Census Tract 425.22; Riverside County; California,3559,78654,30.0,06,065,042522,06065042522
Census Tract 425.23; Riverside County; California,5360,84924,30.1,06,065,042523,06065042523
Census Tract 426.21; Riverside County; California,8231,103650,33.2,06,065,042621,06065042621
Census Tract 426.22; Riverside County; California,4977,113137,35.2,06,065,042622,06065042622
Census Tract 426.23; Riverside County; California,3737,115139,38.5,06,065,042623,06065042623
Census Tract 426.24; Riverside County; California,5110,89760,35.1,06,065,042624,06065042624
Census Tract 426.25; Riverside County; California,6432,92888,32.7,06,065,042625,06065042625
Census Tract 426.26; Riverside County; California,9239,101123,30.3,06,065,042626,06065042626
Census Tract 426.27; Riverside County; California,4877,87926,31.2,06,065,042627,06065042627
Census Tract 426.28; Riverside County; California,4919,67982,30.4,06,065,042628,06065042628
Census Tract 426.29; Riverside County; California,6361,82500,32.0,06,065,042629,06065042629
Census Tract 426.30; Riverside County; California,7249,98713,31.3,06,065,042630,06065042630
Census Tract 426.31; Riverside County; California,5101,68250,30.2,06,065,042631,06065042631
Census Tract 426.32; Riverside County; California,3589,73832,30.4,06,065,042632,06065042632
Census Tract 427.08; Riverside County; California,5515,91395,33.7,06,065,042708,06065042708
Census Tract 427.09; Riverside County; California,4781,59227,52.8,06,065,042709,06065042709
Census Tract 427.11; Riverside County; California,4000,44904,68.8,06,065,042711,06065042711
Census Tract 427.14; Riverside County; California,3238,144141,46.6,06,065,042714,06065042714
Census Tract 427.16; Riverside County; California,5995,112386,40.8,06,065,042716,06065042716
Census Tract 427.17; Riverside County; California,6334,62258,29.9,06,065,042717,06065042717
Census Tract 427.19; Riverside County; California,5598,78534,30.4,06,065,042719,06065042719
Census Tract 427.20; Riverside County; California,5308,59145,37.0,06,065,042720,06065042720
Census Tract 427.23; Riverside County; California,7436,59510,32.7,06,065,042723,06065042723
Census Tract 427.24; Riverside County; California,5403,113385,29.8,06,065,042724,06065042724
Census Tract 427.26; Riverside County; California,11414,127467,31.1,06,065,042726,06065042726
Census Tract 427.28; Riverside County; California,2433,87266,35.6,06,065,042728,06065042728
Census Tract 427.30; Riverside County; California,5821,87661,32.7,06,065,042730,06065042730
Census Tract 427.31; Riverside County; California,8792,94208,41.9,06,065,042731,06065042731
Census Tract 427.32; Riverside County; California,6941,120008,31.8,06,065,042732,06065042732
Census Tract 427.33; Riverside County; California,13747,125321,33.4,06,065,042733,06065042733
Census Tract 427.37; Riverside County; California,3758,121277,32.5,06,065,042737,06065042737
Census Tract 427.38; Riverside County; California,8664,112138,31.2,06,065,042738,06065042738
Census Tract 427.39; Riverside County; California,8714,120286,34.1,06,065,042739,06065042739
Census Tract 427.40; Riverside County; California,1877,46763,72.0,06,065,042740,06065042740
Census Tract 427.41; Riverside County; California,2340,51786,72.3,06,065,042741,06065042741
Census Tract 427.42; Riverside County; California,6726,100479,33.2,06,065,042742,06065042742
Census Tract 427.43; Riverside County; California,4498,144158,34.2,06,065,042743,06065042743
Census Tract 427.44; Riverside County; California,4504,87286,31.7,06,065,042744,06065042744
Census Tract 427.45; Riverside County; California,6804,69734,43.5,06,065,042745,06065042745
Census Tract 427.46; Riverside County; California,4128,88359,30.3,06,065,042746,06065042746
Census Tract 427.47; Riverside County; California,4373,78096,27.7,06,065,042747,06065042747
Census Tract 427.48; Riverside County; California,5462,128607,34.2,06,065,042748,06065042748
Census Tract 427.49; Riverside County; California,4659,123583,33.3,06,065,042749,06065042749
Census Tract 427.50; Riverside County; California,3380,94083,39.2,06,065,042750,06065042750
Census Tract 427.51; Riverside County; California,6134,67273,43.7,06,065,042751,06065042751
Census Tract 427.52; Riverside County; California,4718,73957,58.0,06,065,042752,06065042752
Census Tract 428.01; Riverside County; California,4724,59671,27.9,06,065,042801,06065042801
Census Tract 428.02; Riverside County; California,5847,64940,27.2,06,065,042802,06065042802
Census Tract 429.02; Riverside County; California,4334,51506,29.9,06,065,042902,06065042902
Census Tract 429.03; Riverside County; California,5593,70044,37.0,06,065,042903,06065042903
Census Tract 429.05; Riverside County; California,4900,63981,31.8,06,065,042905,06065042905
Census Tract 429.06; Riverside County; California,6111,64667,29.1,06,065,042906,06065042906
Census Tract 429.07; Riverside County; California,4308,67888,29.9,06,065,042907,06065042907
Census Tract 429.08; Riverside County; California,4192,64869,32.7,06,065,042908,06065042908
Census Tract 430.01; Riverside County; California,11689,85750,32.6,06,065,043001,06065043001
Census Tract 430.03; Riverside County; California,7353,50640,29.5,06,065,043003,06065043003
Census Tract 430.05; Riverside County; California,5877,85509,31.2,06,065,043005,06065043005
Census Tract 430.06; Riverside County; California,4760,46614,32.8,06,065,043006,06065043006
Census Tract 430.07; Riverside County; California,7421,128628,38.0,06,065,043007,06065043007
Census Tract 430.08; Riverside County; California,5588,92220,35.4,06,065,043008,06065043008
Census Tract 430.09; Riverside County; California,5216,107104,31.7,06,065,043009,06065043009
Census Tract 430.10; Riverside County; California,5257,72610,36.2,06,065,043010,06065043010
Census Tract 432.01; Riverside County; California,3588,148139,45.9,06,065,043201,06065043201
Census Tract 432.02; Riverside County; California,5943,134500,40.8,06,065,043202,06065043202
Census Tract 432.03; Riverside County; California,2904,146023,46.3,06,065,043203,06065043203
Census Tract 432.04; Riverside County; California,8221,126250,34.2,06,065,043204,06065043204
Census Tract 432.05; Riverside County; California,5503,132736,32.1,06,065,043205,06065043205
Census Tract 432.06; Riverside County; California,7821,89400,32.9,06,065,043206,06065043206
Census Tract 432.07; Riverside County; California,4430,104500,33.4,06,065,043207,06065043207
Census Tract 432.08; Riverside County; California,5232,131875,34.3,06,065,043208,06065043208
Census Tract 432.09; Riverside County; California,3481,78622,39.0,06,065,043209,06065043209
Census Tract 432.10; Riverside County; California,4322,76168,50.2,06,065,043210,06065043210
Census Tract 432.11; Riverside County; California,7289,117037,31.9,06,065,043211,06065043211
Census Tract 432.16; Riverside County; California,6763,85443,34.7,06,065,043216,06065043216
Census Tract 432.17; Riverside County; California,3358,141994,42.2,06,065,043217,06065043217
Census Tract 432.18; Riverside County; California,5258,129375,43.3,06,065,043218,06065043218
Census Tract 432.20; Riverside County; California,4576,72610,31.3,06,065,043220,06065043220
Census Tract 432.22; Riverside County; California,5104,104564,39.2,06,065,043222,06065043222
Census Tract 432.27; Riverside County; California,8370,118750,32.5,06,065,043227,06065043227
Census Tract 432.28; Riverside County; California,4619,88409,30.7,06,065,043228,06065043228
Census Tract 432.29; Riverside County; California,4378,77807,65.6,06,065,043229,06065043229
